disco_duro_tipo_disco_duro,procesador_frecuencia_turbo_máx__GHz,tipo_producto,tipo,medidas_profundidad_cm,sonido_número_altavoces,medidas_peso_kg,gráfica_salida_vídeo,disco_duro_capacidad_memoria_ssd_GB,procesador_número_hilos_ejecución,procesador_tdp_W,procesador_número_núcleos_procesador_cores,título,company_name,comunicaciones_conectividad,medidas_ancho_cm,almacenamiento_lector_óptico,ram_memoria_ram_GB,sistema_operativo_sistema_operativo,otras_características_fecha_lanzamiento,procesador_nivel_caché,ram_tipo_ram,gráfica_tarjeta_gráfica,pantalla_tamaño_pantalla_pulgadas,medidas_alto_cm,ofertas_count,pantalla_diagonal_pantalla_cm,medidas_altura_mm,gráfica_memoria_gráfica,pantalla_tecnología_pantalla,alimentación_vatios_hora_Wh,ram_frecuencia_memoria_MHz,disco_duro_número_discos_duros_instalados,alimentación_autonomía_batería_h,pantalla_luminosidad_cd_m2,procesador_frecuencia_reloj,procesador_frecuencia_reloj,procesador_caché_MB,procesador_name,equip_Force Touch Trackpad,equip_ScreenPad,equip_Touch Bar,equip_Touch ID,equip_Touchpad multitáctil,equip_TrackPoint / TouchStick / Pointing Stick,equip_USB-C,equip_altavoces estéreo,equip_altavoces estéreo JBL,equip_altavoz integrado,equip_con iluminación,equip_conector de seguridad Kensington,equip_disco duro SSD,equip_lector de tarjetas,equip_lector de tarjetas inteligentes,equip_micrófono integrado,equip_refrigeración líquida,equip_webcam,color,
1501,SSD,5.0,Portátil multimedia,Laptop,24.0,2.0,1.5,HDMI,512.0,,,10.0,"HP 250 G10
725K9EA",HP,"LAN, wifi, Bluetooth",35.0,ninguno,16.0,Windows 11 Professional,2023.0,L3,DDR4,Intel Iris Xe Graphics,15.6,,11,39.0,20.0,memoria compartida,Full HD,41.0,3200.0,1.0,10.0,250.0,"1,2 GHz",,12.0,Intel Core i7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,negro
3872,,4.7,Portátil multimedia,Laptop,25.0,4.0,2.39,Thunderbolt 4,2000.0,,,14.0,"MSI Creator Z16P
B12UGST-012FR",MSI,"Bluetooth, wifi",35.0,ninguno,32.0,Windows 11 Professional,2022.0,L3,DDR5,NVIDIA GeForce RTX 3070 Ti,16.0,,1,40.0,19.0,8.192 MB,WQXGA,90.0,4800.0,2.0,,,"1,7 GHz",,24.0,Intel Core i7,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,negro
1821,PCIe SSD,5.0,Portátil gaming,Laptop,26.0,2.0,2.2,HDMI,1000.0,,,6.0,"MSI GF75-10S
GF75-10SER-479",MSI,"wifi, Bluetooth, LAN",39.0,ninguno,32.0,Windows 10 Professional,2020.0,L3,DDR4,NVIDIA GeForce RTX 2060,17.3,,2,43.0,23.0,,Full HD,51.0,2666.0,1.0,,,"2,6 GHz",,12.0,Intel Core i7,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,negro
2124,SSD,,Portátil multimedia,Laptop,22.0,6.0,1.6,,1000.0,,,12.0,"Apple MacBook Pro 14"" M3 (2023)
Silver (MRX73Y/A)",Apple,"Bluetooth, wifi",31.0,ninguno,18.0,macOS Sonoma,2023.0,,,Apple M3 Graphics,14.2,,3,36.0,16.0,memoria compartida,Retina,70.0,,1.0,15.0,1000.0,,,,Apple M3 Pro,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,plateado
7148,disco duro SSD,4.1,PC gaming,Desktop,,,,,480.0,12.0,65.0,6.0,Vibox V-18 Gaming PC Ryzen 5 4500 / RTX 3060 Ti,Vibox,wifi,,,16.0,,,,DDR4,NVIDIA GeForce RTX 3060 Ti,,,1,,,8192 MB,,,,,,,3.600 MHz,"3,6 GHz",8.0,AMD Ryzen 5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
1370,,,Portátil profesional,Laptop,22.0,2.0,1.61,,,,,,Lenovo ThinkPad P14s G5,Lenovo,"wifi, Bluetooth",32.0,,,,2024.0,,,,14.0,,42,35.0,19.0,,,57.0,,,,350.0,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,
5343,disco duro M.2 SSD,4.7,Mini PC,Desktop,11.0,,,,,8.0,28.0,4.0,"Intel NUC 11
Pro Kit (BNUC11TNKi70002)",Intel,"Ethernet, wifi, Bluetooth",11.0,,,ninguno,,,DDR4,Intel Iris Xe Graphics,,3.0,1,,,memoria compartida,,,3200.0,0.0,,,2.800 MHz,,12.0,Intel Core i7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negro
2664,,4.4,Portátil profesional,Laptop,21.0,2.0,1.4,HDMI 2.1,512.0,,,10.0,"Lenovo ThinkBook 14 G4
21DH00D1SP",Lenovo,"LAN, wifi, Bluetooth",32.0,ninguno,16.0,Windows 11 Professional,2022.0,L3,DDR4,Intel Iris Xe Graphics,14.0,,2,35.0,18.0,memoria compartida,Full HD,45.0,3200.0,1.0,8.0,300.0,"0,9 GHz",,12.0,Intel Core i5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,gris
4417,disco duro SSD,4.8,PC de oficina,Desktop,30.0,,4.2,,512.0,20.0,65.0,14.0,"HP ProDesk 400 G9
628R4ET",HP,Ethernet,15.0,ninguno,16.0,Microsoft Windows 11 Professional,,,DDR4,Intel UHD Graphics 770,,33.0,4,,,memoria compartida,,,3200.0,1.0,,,,"2,5 GHz",24.0,Intel Core i5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,negro
2429,PCIe SSD,4.4,Portátil profesional,Laptop,22.0,,1.29,HDMI 2.0,512.0,,,10.0,"Lenovo ThinkPad T14s G3
21BR00C4GE",Lenovo,"wifi, Bluetooth",31.0,,16.0,Windows 10 Professional,2022.0,L3,LPDDR5,Intel Iris Xe Graphics,14.0,,2,35.0,17.0,memoria compartida,WUXGA,57.0,,1.0,,400.0,"0,9 GHz",,12.0,Intel Core i5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,negro
3172,SSD,5.2,Portátil gaming,Laptop,22.0,2.0,1.7,HDMI 2.1,1000.0,,,8.0,"ASUS ROG Zephyrus G14 GA402 (2023)
GA402XY-N2004W",ASUS,"wifi, Bluetooth",31.0,,32.0,Windows 11 Home,2023.0,L3,,NVIDIA GeForce RTX 4090,14.0,,1,35.0,21.0,16.384 MB / 16 GB,WQXGA,76.0,,1.0,,600.0,4 GHz,,32.0,AMD Ryzen 9,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,gris
3107,PCIe SSD,4.6,Portátil multimedia,Laptop,25.0,,1.86,HDMI,1000.0,,,8.0,"MSI Creator 15
A11UH-603ES",MSI,"wifi, Bluetooth, LAN",35.0,ninguno,32.0,Windows 10 Professional,2020.0,L3,DDR4,NVIDIA GeForce RTX 3080,15.6,,1,39.0,22.0,8.192 MB,,51.0,3200.0,,,,"2,3 GHz",,24.0,Intel Core i7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,negro
3818,,5.5,Portátil profesional,Laptop,25.0,,2.67,,1000.0,,,24.0,"Dell Precision 7680
3X3W5",Dell,"wifi, Bluetooth, LAN",35.0,ninguno,32.0,Windows 11 Professional,2023.0,L3,DDR5,NVIDIA RTX 3500,16.0,,1,40.0,27.0,12.288 MB,WUXGA,83.0,5600.0,1.0,,250.0,"1,6 GHz",,36.0,Intel Core i9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,gris
3001,SSD,5.2,Portátil gaming,Laptop,22.0,4.0,1.5,HDMI 2.1,1000.0,,,8.0,"ASUS ROG Zephyrus G14 GA403
GA403UV-QS020W",ASUS,"wifi, Bluetooth",31.0,,16.0,Windows 11 Home,2024.0,L3,LPDDR5X,NVIDIA GeForce RTX 4060,14.0,,1,35.0,16.0,8.192 MB / 8 GB,2.8K,73.0,6400.0,1.0,,500.0,4 GHz,,24.0,AMD Ryzen 9,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,negro
3850,SSD,5.0,Portátil profesional,Laptop,23.0,,1.61,,,,,10.0,"Dell Latitude 15 5540
5540 V975G",Dell,"wifi, Bluetooth",35.0,,,Windows 11 Professional,2023.0,L3,DDR4,,15.6,,1,39.0,21.0,,Full HD,54.0,,,,250.0,"1,2 GHz",,12.0,Intel Core i7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,gris
7042,disco duro SSD,1.92,Mini PC,Desktop,12.0,,,,64.0,4.0,2.0,4.0,Minix Neo Z83-4 Plus,Neo,"Ethernet, wifi, Bluetooth",12.0,ninguno,4.0,Microsoft Windows 10 Professional,,,DDR3L,Intel HD Graphics,,4.0,1,,,memoria compartida,,,,1.0,,,1.440 MHz,,2.0,Intel Atom,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,negro
29,,,Portátil multimedia,Laptop,24.0,4.0,1.73,Thunderbolt 4,,,,,HP ZBook Studio G10,HP,"Bluetooth, wifi",35.0,,,Windows 11 Professional,2023.0,L3,,,16.0,,37,40.0,19.0,,,86.0,,,,500.0,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,
4739,,,PC gaming,Desktop,47.0,,,,,,,,HP Omen 45L GT22,HP,"Ethernet, Bluetooth, wifi",20.0,,,,,,,,,55.0,9,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6128,disco duro SSD,5.2,,Desktop,18.0,,,,1024.0,24.0,219.0,10.0,"Lenovo ThinkStation P3 Tiny
30H0002LGE",Lenovo,Ethernet,3.0,,32.0,Microsoft Windows 10 Professional,,,DDR5,NVIDIA T400,,17.0,1,,,4096 MB,,,4800.0,1.0,,,2.100 MHz,"2,1 GHz",30.0,Intel Core i7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negro
1105,SSD,,Portátil profesional,Laptop,23.0,,1.62,,,,,,Dell Precision 3590,Dell,"Bluetooth, wifi",35.0,,,Windows 11 Professional,2024.0,L3,DDR5,,15.6,,38,39.0,23.0,,Full HD,54.0,,,,250.0,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,
124,,,Portátil gaming,Laptop,23.0,2.0,1.9,,,,,,GigaByte G5 2023,GigaByte,"wifi, Bluetooth, LAN",36.0,,,,2023.0,,,,15.6,,66,39.0,22.0,,,54.0,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,
5119,disco duro M.2 SSD,,PC de oficina,Desktop,29.0,,,,256.0,,,,"Dell OptiPlex 7010 SFF
07CM1",Dell,Ethernet,9.0,,8.0,Microsoft Windows 11 Professional,,,DDR4,Intel UHD Graphics 770,,29.0,1,,,memoria compartida,,,,1.0,,,,,,Intel Core i5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
5901,,,PC gaming,Desktop,38.0,,,,,,,,Acer Nitro N50-640,Acer,wifi,17.0,,,,,,,,,39.0,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5576,disco duro M.2 SSD,4.6,PC de oficina,Desktop,29.0,,5.3,,512.0,16.0,65.0,10.0,"Lenovo ThinkCentre M70s Gen 5
12U8001NGE",Lenovo,Ethernet,9.0,grabadora DVD,16.0,Microsoft Windows 11 Professional,,,DDR5,Intel UHD Graphics 730,,34.0,3,,,memoria compartida,,,,1.0,,,2.500 MHz,"2,5 GHz",20.0,Intel Core i5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,negro
4954,disco duro M.2 SSD,4.4,Mini PC,Desktop,33.0,,,DisplayPort,256.0,12.0,117.0,6.0,"Acer Veriton X4 VX4690G
X4690G DT.VWREG.003",Acer,"Ethernet, wifi, Bluetooth",10.0,,8.0,Microsoft Windows 11 Professional,,,DDR4,Intel UHD Graphics 730,,33.0,2,,,memoria compartida,,,2400.0,1.0,,,2.500 MHz,"2,5 GHz",18.0,Intel Core i5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
5150,disco duro SSD,4.7,,Desktop,18.0,,,,512.0,20.0,35.0,12.0,"Lenovo ThinkCentre M70q G3
Gen 3 Tiny 11UD0004GE",Lenovo,"Ethernet, wifi, Bluetooth",17.0,,16.0,Microsoft Windows 11 Professional,,,,Intel UHD Graphics 770,,3.0,2,,,memoria compartida,,,,1.0,,,3.400 MHz,,25.0,Intel Core i7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
1572,SSD,,Portátil profesional,Laptop,22.0,4.0,1.19,,,,,,HP EliteBook 1040 G10,HP,"wifi, Bluetooth",31.0,,,,2023.0,L3,,,14.0,,21,35.0,12.0,,,51.0,,,,250.0,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,
4163,disco duro SSD,5.0,PC de oficina,Desktop,29.0,,,,512.0,20.0,,14.0,"Dell Optiplex 7020 SFF
0TWFC",Dell,"Bluetooth, wifi",9.0,ninguno,16.0,Microsoft Windows 11 Professional,,,DDR5,Intel UHD Graphics 770,,29.0,21,,,memoria compartida,,,,,,,2.600 MHz,"2,6 GHz",24.0,Intel Core i5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negro
602,SSD,4.8,Portátil multimedia,Laptop,26.0,2.0,1.38,,1000.0,,,16.0,"LG Gram Pro 17 2024
17Z90SP-E.AD88B",LG,"wifi, Bluetooth",37.0,ninguno,32.0,Windows 11 Home,2024.0,L3,LPDDR5,,17.3,,3,43.0,15.0,,WQXGA,90.0,7467.0,1.0,,,"3,8 GHz",,24.0,Intel Core Ultra 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negro
6338,,4.8,PC gaming,Desktop,,,,,,24.0,105.0,12.0,Ankermann Gaming PC (4260561746809),Ankermann,,,ninguno,32.0,Microsoft Windows 11 Professional,,,,NVIDIA GeForce RTX 3070 Ti,,,1,,,8192 MB,,,,,,,3.700 MHz,"3,7 GHz",64.0,AMD Ryzen 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negro
1429,SSD,4.4,Portátil profesional,Laptop,22.0,2.0,1.3,Thunderbolt 4,512.0,,,10.0,"Microsoft Surface Laptop 5 13.5
i5 16GB/512GB negro R8P-00035",Microsoft,"wifi, Bluetooth",30.0,ninguno,16.0,Windows 11 Professional,2022.0,L3,LPDDR5X,Intel Iris Xe Graphics,13.5,,1,34.0,15.0,memoria compartida,,,,1.0,18.0,400.0,"1,2 GHz",,12.0,Intel Core i5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,negro
4228,disco duro M.2 SSD,4.4,,Desktop,11.0,,0.75,HDMI,,16.0,28.0,12.0,"ASUS NUC 12 Pro Tall
Kit (90AR00E1-M000D0)",ASUS,"Bluetooth, Ethernet, wifi",11.0,ninguno,,ninguno,,,DDR4,Intel UHD Graphics,,5.0,10,,,memoria compartida,,,3200.0,0.0,,,1.700 MHz,"1,7 GHz",12.0,Intel Core i5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negro
5688,,,PC gaming,Desktop,38.0,,,,,,,,Medion Erazer Engineer P10,Medion,"Ethernet, Bluetooth, wifi",20.0,,,,,,,,,39.0,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4703,disco duro SSD,5.8,Workstation,Desktop,38.0,,,DisplayPort,1000.0,32.0,125.0,24.0,"HP Workstation Z2 G9 Tower
5F120EA",HP,Ethernet,16.0,,32.0,Microsoft Windows 11 Professional,,,DDR5,Intel UHD Graphics 770,,35.0,2,,,memoria compartida,,,,1.0,,,3.000 MHz,3 GHz,36.0,Intel Core i9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negro
3684,SSD,5.0,Portátil profesional,Laptop,24.0,4.0,1.91,,1000.0,,,14.0,"Dell Precision 5680
MWMGP",Dell,"Bluetooth, wifi",35.0,,32.0,Windows 11 Professional,2023.0,L3,,NVIDIA RTX A2000,16.0,,1,40.0,22.0,8.192 MB / 8 GB,WUXGA,100.0,,1.0,,500.0,"1,8 GHz",,24.0,Intel Core i7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,gris
2226,,4.4,Portátil multimedia,Laptop,,,,,512.0,,,10.0,"ASUS Vivobook 17 S1704
S1704ZA-BX253W",ASUS,wifi,,ninguno,16.0,Windows 11 Home,,L3,DDR4,Intel Iris Xe Graphics,17.3,,3,43.0,,memoria compartida,HD+,50.0,,1.0,,250.0,"0,9 GHz",,12.0,Intel Core i5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plateado
5934,disco duro SSD,5.1,PC gaming,Desktop,40.0,,,,1000.0,16.0,,8.0,"HP Omen 35L GT16
GT16-0471ng",HP,"wifi, Bluetooth, Ethernet",21.0,ninguno,32.0,Microsoft Windows 11 Home,,,DDR5,NVIDIA GeForce RTX 4060 Ti,,41.0,1,,,8192 MB,,,5200.0,1.0,,,,"4,2 GHz",16.0,AMD Ryzen 7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,negro
3977,SSD,3.6,Portátil multimedia,Laptop,25.0,,2.3,,256.0,,,4.0,"ASUS P15
P1511CJA-BQ1895XA",ASUS,"LAN, wifi, Bluetooth",38.0,,8.0,Windows 11 Professional,2022.0,L3,DDR4,Intel UHD Graphics,15.6,,1,39.0,23.0,memoria compartida,Full HD,38.0,,1.0,,,1 GHz,,6.0,Intel Core i5,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,gris
2707,SSD,5.4,Portátil profesional,Laptop,20.0,,1.01,,1000.0,,,10.0,"ASUS ExpertBook B9
B9403CVAR-KM1092X",ASUS,"wifi, Bluetooth",32.0,,32.0,Windows 11 Professional,2020.0,L3,LPDDR5X,Intel Iris Xe Graphics,14.0,,1,35.0,15.0,memoria compartida,2.8K,66.0,,1.0,,400.0,"1,2 GHz",,12.0,Intel Core i7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,negro
816,,4.9,Portátil gaming,Laptop,23.0,2.0,2.08,,1000.0,,,10.0,"GigaByte G5 2024
MF5-H2ES354KD",GigaByte,"wifi, Bluetooth, LAN",36.0,ninguno,16.0,sin sistema operativo,2024.0,L3,DDR5,NVIDIA GeForce RTX 4050,15.6,,12,39.0,23.0,6.144 MB / 6 GB,Full HD,54.0,4800.0,1.0,,,"1,8 GHz",,24.0,Intel Core i7,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,gris
5531,disco duro SSD,4.4,,Desktop,18.0,,1.25,,256.0,16.0,35.0,10.0,"Lenovo ThinkCentre M70q Gen4
12E3004QPG",Lenovo,"wifi, Bluetooth, Ethernet",3.0,ninguno,8.0,Microsoft Windows 11 Professional,,,DDR4,Intel UHD Graphics 730,,17.0,2,,,memoria compartida,,,3200.0,1.0,,,,1 GHz,20.0,Intel Core i5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,negro
968,,4.3,Portátil multimedia,Laptop,24.0,,1.6,HDMI,512.0,,,6.0,"HP 255 G10
AK9Z9AT",HP,"LAN, wifi, Bluetooth",35.0,ninguno,8.0,Free DOS,2023.0,L3,DDR4,AMD Radeon Graphics,15.6,,14,39.0,20.0,memoria compartida,Full HD,41.0,3200.0,1.0,,250.0,"2,3 GHz",,8.0,AMD Ryzen 3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,negro
6965,disco duro SSD,4.6,PC de oficina,Desktop,30.0,,4.5,,512.0,16.0,65.0,10.0,"Lenovo ThinkCentre Neo 50s Gen 4 SFF
12JH002CFR",Lenovo,Ethernet,10.0,grabadora DVD,16.0,Microsoft Windows 11 Professional,,,DDR4,Intel UHD Graphics,,27.0,1,,,memoria compartida,,,3200.0,,,,2.500 MHz,"2,5 GHz",20.0,Intel Core i5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negro
3250,SSD,4.6,Portátil multimedia,Laptop,23.0,,1.65,HDMI,512.0,,,8.0,"Lenovo V15 G4
83A1008RIX",Lenovo,"LAN, wifi, Bluetooth",35.0,,8.0,Windows 11 Professional,2023.0,L3,DDR4,,15.6,,1,39.0,20.0,,,38.0,,,8.4,250.0,"1,5 GHz",,12.0,Intel Core i5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,negro
818,,,Portátil profesional,Laptop,24.0,4.0,1.93,,,,,,Dell Precision 5690,Dell,"Bluetooth, wifi",35.0,,,Windows 11 Professional,2024.0,,,,16.0,,25,40.0,22.0,,WUXGA,100.0,,,,500.0,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,
842,SSD,5.4,Portátil profesional,Laptop,24.0,4.0,1.91,,,,,14.0,"Dell Precision 5680
TC1K6",Dell,"Bluetooth, wifi",35.0,ninguno,32.0,Windows 11 Professional,2023.0,L3,LPDDR5,Intel Iris Xe Graphics,16.0,,7,40.0,22.0,memoria compartida,WQUXGA,100.0,6000.0,,,500.0,"1,9 GHz",,24.0,Intel Core i9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,gris
7180,disco duro SSD,4.1,PC gaming,Desktop,,,,,1000.0,12.0,65.0,6.0,Vibox V-147 PC Gamer Ryzen 5 4500 / RTX 4060,Vibox,wifi,,,16.0,,,,DDR4,NVIDIA GeForce RTX 4060,,,1,,,8192 MB,,,,,,,3.600 MHz,"3,6 GHz",8.0,AMD Ryzen 5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
2934,SSD,4.0,Portátil multimedia,Laptop,23.0,2.0,1.6,HDMI,512.0,,,6.0,"Lenovo IdeaPad 1 15
15ALC7 82R400KPSP",Lenovo,"wifi, Bluetooth",36.0,ninguno,16.0,Windows 11 Home,2022.0,L3,DDR4,AMD Radeon Graphics,15.6,,1,39.0,18.0,memoria compartida,Full HD,42.0,3200.0,1.0,7.5,250.0,"2,1 GHz",,8.0,AMD Ryzen 5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,gris
1248,,5.1,Portátil multimedia,Laptop,26.0,6.0,1.99,,2000.0,,,16.0,"MSI CreatorPro 16 AI Studio A1V
A1VKG-207ES",MSI,"wifi, Bluetooth, LAN",35.0,ninguno,64.0,Windows 11 Professional,2024.0,L3,DDR5,NVIDIA RTX 3000 Ada,16.0,,9,40.0,20.0,8.192 MB / 8 GB,UHD+,99.9,5600.0,1.0,,400.0,"3,8 GHz",,24.0,Intel Core Ultra 9,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,gris
1238,SSD,,Portátil gaming,Laptop,25.0,2.0,1.86,HDMI 2.1,,,,,MSI Thin 15 B13,MSI,"wifi, Bluetooth, LAN",35.0,,16.0,,2024.0,L3,,,15.6,,14,39.0,21.0,,,52.4,,,7.0,250.0,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
5316,disco duro M.2 SSD,5.2,Mini PC,Desktop,17.0,,1.3,,512.0,24.0,219.0,4.0,"ASUS PB63
PB63-B7013AH",ASUS,"wifi, Bluetooth, Ethernet",17.0,ninguno,16.0,Microsoft Windows 11 Professional,,,DDR5,Intel UHD Graphics 770,,4.0,3,,,memoria compartida,,,,1.0,,,2.100 MHz,"2,1 GHz",30.0,Intel Core i7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,negro
4167,disco duro SSD,4.4,PC gaming,Desktop,29.0,,8.6,,512.0,12.0,,6.0,"HP Victus 15L
TG02-0183ns",HP,"Bluetooth, Ethernet, wifi",15.0,ninguno,16.0,Microsoft Windows 11 Home,,,DDR4,NVIDIA GeForce RTX 3050,,33.0,4,,,8192 MB,,,3200.0,,,,,"3,9 GHz",16.0,AMD Ryzen 5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,negro
2983,SSD,4.5,Portátil multimedia,Laptop,24.0,2.0,1.5,HDMI,512.0,,,6.0,"HP 250 G10
A3DB0ES",HP,"LAN, wifi, Bluetooth",35.0,,8.0,sin sistema operativo,2023.0,L3,,Intel Iris Xe Graphics,15.6,,1,39.0,20.0,memoria compartida,Full HD,41.0,,1.0,10.0,250.0,"0,9 GHz",,10.0,Intel Core i3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,plateado
7101,disco duro M.2 SSD,5.2,PC gaming,Desktop,,,,,1000.0,24.0,65.0,16.0,Vibox VII-105 PC Gamer i7-13700F / RTX 4060 Ti,Vibox,wifi,,,16.0,,,,DDR4,NVIDIA GeForce RTX 4060 Ti,,,1,,,8192 MB,,,,,,,2.100 MHz,"2,1 GHz",30.0,Intel Core i7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
2756,PCIe SSD,4.7,,Laptop,23.0,,1.7,HDMI 1.4,512.0,,,10.0,"ASUS Vivobook 15 P1502
P1502CZA-EJ1737X",ASUS,"wifi, Bluetooth",35.0,ninguno,16.0,Windows 11 Professional,2023.0,L3,DDR4,Intel Iris Xe Graphics,15.6,,1,39.0,20.0,memoria compartida,Full HD,42.0,,,,220.0,"1,2 GHz",,12.0,Intel Core i7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,azul
4957,disco duro SSD,4.6,PC multimedia,Desktop,30.0,,,,512.0,,,8.0,"HP Pavilion TP01
TP01-2190nf",HP,"Bluetooth, Ethernet, wifi",15.0,ninguno,16.0,Microsoft Windows 11 Home,,,DDR4,AMD Radeon Graphics,,33.0,3,,,memoria compartida,,,3200.0,1.0,,,,"3,8 GHz",4.0,AMD Ryzen 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plateado
2893,SSD,4.9,Portátil gaming,Laptop,25.0,2.0,2.2,HDMI 2.0,512.0,,,10.0,"ASUS TUF Gaming F15 FX507
FX507VI-LP060",ASUS,"wifi, Bluetooth, LAN",35.0,,32.0,sin sistema operativo,2022.0,L3,DDR5,NVIDIA GeForce RTX 4070,15.6,,1,39.0,25.0,8.192 MB / 8 GB,Full HD,90.0,,1.0,,250.0,"1,8 GHz",,24.0,Intel Core i7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,gris
6297,disco duro M.2 SSD,4.8,PC de oficina,Desktop,33.0,,,,512.0,20.0,65.0,12.0,"Acer Veriton X4710G
(DT.VYGEG.0049",Acer,"Ethernet, Bluetooth, wifi",10.0,grabadora DVD,16.0,Microsoft Windows 11 Professional,,,DDR4,Intel UHD Graphics 770,,33.0,1,,,memoria compartida,,,3200.0,1.0,,,2.500 MHz,"2,5 GHz",24.0,Intel Core i5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,negro
1676,,4.6,Portátil profesional,Laptop,24.0,2.0,1.68,Thunderbolt 4,256.0,,,14.0,"Microsoft Surface Laptop 6 15
Core Ultra 5 16GB/256GB ZLG-00037 platino",Microsoft,"wifi, Bluetooth",34.0,ninguno,16.0,Windows 11 Professional,2024.0,L3,LPDDR5X,Intel Arc Graphics,15.0,,9,38.0,17.0,memoria compartida,,,7500.0,1.0,19.0,400.0,"1,7 GHz",,18.0,Intel Core Ultra 5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,plateado
